Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
"""The Rocky Horror Picture Show"" Original Cast - The Rocky Horror Picture Show","""The Rocky Horror Picture Show"" Original Cast - The Rocky Horror Picture Show",,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Vinyl,LP,Album,Reissue, Ode Records,The Orchard,The Orchard,Ode Records Inc.,Ode Records Inc.,Olympic Studios,Rainbo Records, Rock,Pop,Stage & Screen, Soundtrack,Rock & Roll,Classic Rock,Glam",,,,,,,,,,,,deny,manual,,,,,,https://i.discogs.com/F1KOmatYuxg-GN4zyIoorFIt5t4amX1KgJJc5LYhAqU/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ5ODc5/NjMtMTQwOTg0NTQ4/OS0zNjk3LmpwZWc.jpeg,,"""The Rocky Horror Picture Show"" Original Cast - The Rocky Horror Picture Show",,"""The Rocky Horror Picture Show"" Original Cast - The Rocky Horror Picture Show | Village Record Club","""The Rocky Horror Picture Show"" Original Cast - The Rocky Horror Picture Show is available to add to your wishlist.",,,,,,,,,,,,,,,,,,,,Active
Aaliyah - Aaliyah,Aaliyah - Aaliyah,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Vinyl,LP,Album,Club Edition,Reissue,Remastered,Stereo, Blackground Records,Blackground Records,Blackground Records,Vinyl Me, Please. Essentials,Timbaland Productions, Inc.,Keybeats, Inc.,Bud'da Productions, Inc.,Dub's World Productions,Blackground Records, LLC,Blackground Records, LLC,GZ Media,Virginia Beach Music,Herbalicious Music,Black Fountain Music,Warner/Chappell,Rap Tracks Publishing,E Beats Music,Bout Bud'da Music,Mass Confusion Music,Blazalicious Music,Dub's World Music,Tank 1176 Music,Timbaland Productions,Westlake Studios,Sony Music Studios, New York City,Sing Sing Studios,Manhattan Center Studios,Music Grinder Studios,The Magic Mix Room,Soundtrack Studios,Westlake Studios,Pacifique Studios,Quad Recording Studios,Abolitionist Studios,The Village Recorder,Larrabee Sound Studios,Capitol Studios,Electric Lady Studios,Music Grinder Studios,Right Track Recording,Record Plant, Los Angeles,Bernie Grundman Mastering,Alchemy Mastering At AIR,Vinyl Me, Please, Hip Hop,Funk / Soul,Pop, Contemporary R&B",,,,,,,,,,,,deny,manual,,,,,,https://i.discogs.com/z4lfzzw2iuGOTOkS_1e67wE-9J782KrGEm4aKQBCFo4/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIyODIw/Njk2LTE2NzUxMTYx/MjgtNTA5MC5qcGVn.jpeg,,Aaliyah - Aaliyah,,Aaliyah - Aaliyah | Village Record Club,Aaliyah - Aaliyah is available to add to your wishlist.,,,,,,,,,,,,,,,,,,,,Active
Alan Vega - Saturn Strip,Alan Vega - Saturn Strip,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Vinyl,LP,Album,Stereo, Elektra,ZE Records,WEA Musik GmbH,Record Service GmbH,Synchro Sound Studios,Precision Lacquer,Elektra/Asylum Records,Elektra/Asylum Records,WEA International Inc.,WEA International Inc.,WEA Records SA / NV,WEA Musik GmbH,WEA Records Ltd.,WEA Records, S.A.,WEA Filipacchi Music,WEA Italiana S.p.A.,WEA Records B.V.,WEA Music Ges.m.b.H.,WEA Metronome Records AB,Record Service Alsdorf,Mez Publishing, Inc.,Ackee Music, Inc.,Lido Music, Inc.,Ministry Affairs Publishing, Electronic,Rock, Leftfield,New Wave,Pop Rock,Synth-pop",,,,,,,,,,,,deny,manual,,,,,,https://i.discogs.com/wlEPXVdvSV_z-k6Izqtc4BElWYREgOUTWHsx0xJCRYQ/rs:fit/g:sm/q:90/h:595/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ5NTg0/My0xNDk4MjEzNTM0/LTU3NDUuanBlZw.jpeg,,Alan Vega - Saturn Strip,,Alan Vega - Saturn Strip | Village Record Club,Alan Vega - Saturn Strip is available to add to your wishlist.,,,,,,,,,,,,,,,,,,,,Active
Alt-J - Relaxer,Alt-J - Relaxer,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Vinyl,LP,Album, Infectious Music,[PIAS],Infectious Music Ltd.,Optimal Media GmbH,PIAS UK,Iguana Studio, London,Abbey Road Studios,Strongroom,Iguana Studio, London, Rock, Experimental,Indie Rock",,,,,,,,,,,,deny,manual,,,,,,https://i.discogs.com/02_jSJ4sJEgG7iHIemiiILrRiOYTlvFT2Kta3op4KwI/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMzc1/Nzc0LTE0OTY0ODYw/ODEtMjE0OS5qcGVn.jpeg,,Alt-J - Relaxer,,Alt-J - Relaxer | Village Record Club,Alt-J - Relaxer is available to add to your wishlist.,,,,,,,,,,,,,,,,,,,,Active
Animal Collective - Time Skiffs,Animal Collective - Time Skiffs,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Vinyl,12"",45 RPM,Album,Limited Edition, Domino,Domino,Domino Recording Co. Ltd.,Domino Recording Co. Ltd.,Domino Publishing Company USA,Namouche Studios,Drop Of Sun Studios,Studio Zona,SEEN,GZ Media, Rock,Pop, Indie Pop,Indie Rock,Alternative Rock,Experimental",,,,,,,,,,,,deny,manual,,,,,,https://i.discogs.com/cTfRTbB-xeka1-KcFZFUROL3bc3swMlCr3ozVJTXWHA/rs:fit/g:sm/q:90/h:598/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIyMDA2/NDg5LTE2NDQwMTk1/NzktODUyMy5qcGVn.jpeg,,Animal Collective - Time Skiffs,,Animal Collective - Time Skiffs | Village Record Club,Animal Collective - Time Skiffs is available to add to your wishlist.,,,,,,,,,,,,,,,,,,,,Active
Aretha Franklin - I Never Loved A Man The Way I Love You,Aretha Franklin - I Never Loved A Man The Way I Love You,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Vinyl,LP,Album,Club Edition,Reissue,Remastered,Mono, Atlantic,Atlantic,Atlantic,Vinyl Me, Please. Essentials,Vinyl Me, Please,Atlantic Recording Corporation,Atlantic Recording Corporation,Atlantic Recording Corporation,Rhino Entertainment Company,Rhino Entertainment Company,Warner Music Group,East,Time,Walco,Jay & Cee,14th Hour,Pronto,Kilynn,Vee Vee,Kags,Press,Atlantic Studios,Muscle Shoals Sound Studios,Sterling Sound,GZ Media,Quality Record Pressings, Funk / Soul, Rhythm & Blues,Soul",,,,,,,,,,,,deny,manual,,,,,,https://i.discogs.com/INExta7HzUJ-8aUjtLXE2eR_micRcsFc6yp-yco8LM0/rs:fit/g:sm/q:90/h:603/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE0NTA5/MzAzLTE1Nzc3NzE5/NDctNzk0OC5qcGVn.jpeg,,Aretha Franklin - I Never Loved A Man The Way I Love You,,Aretha Franklin - I Never Loved A Man The Way I Love You | Village Record Club,Aretha Franklin - I Never Loved A Man The Way I Love You is available to add to your wishlist.,,,,,,,,,,,,,,,,,,,,Active
Augustus Pablo - Africa Must Be Free By 1983 (Dub),Augustus Pablo - Africa Must Be Free By 1983 (Dub),,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Vinyl,LP,Album, Rockers International,Pablo Records Ltd.,Dynamic Sounds Recording Co. Ltd.,Dynamic Sounds Recording Co. Ltd., Reggae, Dub",,,,,,,,,,,,deny,manual,,,,,,https://i.discogs.com/qdbaKffIrQhLYc22dQ5SBD7Vpnuqcn8cmtxNB7wTPZo/rs:fit/g:sm/q:90/h:607/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE3MTIx/NTAtMTUxOTE4NDI3/NC00NDU0LmpwZWc.jpeg,,Augustus Pablo - Africa Must Be Free By 1983 (Dub),,Augustus Pablo - Africa Must Be Free By 1983 (Dub) | Village Record Club,Augustus Pablo - Africa Must Be Free By 1983 (Dub) is available to add to your wishlist.,,,,,,,,,,,,,,,,,,,,Active
BadBadNotGood - Talk Memory,BadBadNotGood - Talk Memory,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Vinyl,LP,45 RPM,Album,Limited Edition, XL Recordings,Innovative Leisure,Masterdisk,Optimal Media GmbH, Jazz,Rock, Fusion,Contemporary Jazz,Psychedelic Rock",,,,,,,,,,,,deny,manual,,,,,,https://i.discogs.com/oc18SC2aMDzydzjSev_6ew8_ODjdoZg3hiTXEWF5bCM/rs:fit/g:sm/q:90/h:594/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIwNDkz/OTAxLTE2MzM1MzI3/MDgtMjA4MS5qcGVn.jpeg,,BadBadNotGood - Talk Memory,,BadBadNotGood - Talk Memory | Village Record Club,BadBadNotGood - Talk Memory is available to add to your wishlist.,,,,,,,,,,,,,,,,,,,,Active
Beck - Modern Guilt,Beck - Modern Guilt,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Vinyl,LP,Album, DGC,DGC,DGC Records,Universal Music Distribution,Universal Music Distribution,DGC Records,DGC Records,Youthless,Chrysalis Music,Universal Publishing Production Music,Anonyme Studios,Conway Studios,Ocean Way Recording,Gateway Mastering,Youthless,Iliad, Rock,Pop, Alternative Rock,Folk Rock",,,,,,,,,,,,deny,manual,,,,,,https://i.discogs.com/iF-un2qnN-pVWqJKHMfs210w5wx5zp7rJSydoe_U7bk/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE0MTQ0/NjItMTI0NTU5OTU3/Ny5qcGVn.jpeg,,Beck - Modern Guilt,,Beck - Modern Guilt | Village Record Club,Beck - Modern Guilt is available to add to your wishlist.,,,,,,,,,,,,,,,,,,,,Active
Beyoncé - Lemonade,Beyoncé - Lemonade,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Vinyl,LP,Album, Parkwood Entertainment,Columbia,MPO, Electronic,Hip Hop,Funk / Soul,Pop, Soul,Neo Soul,Electro,Contemporary R&B",,,,,,,,,,,,deny,manual,,,,,,https://i.discogs.com/G19GqAxwygvnQ02B8T67RTqiiP8GysQITU5TABz0LY4/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwNzgx/NTA4LTE1MDgyNzk1/MTItOTY4MS5qcGVn.jpeg,,Beyoncé - Lemonade,,Beyoncé - Lemonade | Village Record Club,Beyoncé - Lemonade is available to add to your wishlist.,,,,,,,,,,,,,,,,,,,,Active
